City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Katherine,AU,2021-05-26 23:07:51,-14.4667,132.2667,68.32,60,53,12.28
68,Taoudenni,ML,2021-05-26 23:07:52,22.6783,-3.9836,98.92,16,100,12.95
69,Cidreira,BR,2021-05-26 23:07:52,-30.1811,-50.2056,58.53,73,0,7.52
70,Bengkulu,ID,2021-05-26 23:07:52,-3.8004,102.2655,77.45,81,97,4.59
71,Chuy,UY,2021-05-26 23:07:53,-33.6971,-53.4616,54.3,79,66,10.04
72,Tuy Hoa,VN,2021-05-26 23:07:53,13.0833,109.3,77.29,88,96,3.85
73,Provideniya,RU,2021-05-26 23:07:53,64.3833,-173.3,46.51,53,0,22.37
74,Medicine Hat,CA,2021-05-26 23:07:53,50.0501,-110.6683,61.21,55,98,3.0
75,San Luis,AR,2021-05-26 23:07:54,-33.295,-66.3356,55.63,52,20,4.76
76,Sulangan,PH,2021-05-26 23:07:54,11.1373,123.7228,82.96,75,21,6.85
77,Hilo,US,2021-05-26 23:05:21,19.7297,-155.09,81.1,73,20,8.05
78,Makasar,ID,2021-05-26 23:07:45,-5.14,119.4221,75.25,94,20,3.51
79,Iqaluit,CA,2021-05-26 23:07:55,63.7506,-68.5145,31.69,82,17,5.01
80,Tilichiki,RU,2021-05-26 23:07:55,60.4667,166.1,35.44,98,100,5.01
81,Khatanga,RU,2021-05-26 23:07:55,71.9667,102.5,24.85,95,48,10.42
82,Yellowknife,CA,2021-05-26 23:05:01,62.456,-114.3525,51.33,34,100,5.99
83,Finschhafen,PG,2021-05-26 23:07:56,-6.6024,147.8681,80.11,83,100,9.48
84,Awbari,LY,2021-05-26 23:07:56,26.5921,12.7805,87.87,11,4,8.61
85,Horodnytsya,UA,2021-05-26 23:07:56,50.807,27.3168,49.8,78,4,4.83
86,Riyadh,SA,2021-05-26 23:03:06,24.6877,46.7219,91.45,13,0,0.0
87,Kumluca,TR,2021-05-26 23:07:56,36.3703,30.2869,74.61,60,2,2.17
88,Ankazoabo,MG,2021-05-26 23:07:57,-22.2833,44.5167,60.12,96,3,4.88
89,Airai,TL,2021-05-26 23:07:57,-8.9266,125.4092,59.88,81,55,4.43
90,Bluff,NZ,2021-05-26 23:07:57,-46.6,168.3333,49.8,73,95,13.96
91,Padang,ID,2021-05-26 23:02:32,-0.9492,100.3543,79.09,87,100,5.53
92,Grindavik,IS,2021-05-26 23:07:58,63.8424,-22.4338,47.55,81,75,29.91
93,Portales,US,2021-05-26 23:07:58,34.1862,-103.3344,89.02,24,99,5.99
94,Constitucion,CL,2021-05-26 23:07:58,-35.3333,-72.4167,57.76,87,50,7.11
95,Flinders,AU,2021-05-26 23:07:59,-34.5833,150.8552,55.38,64,0,5.99
96,Nanortalik,GL,2021-05-26 23:07:59,60.1432,-45.2371,36.32,93,100,5.86
97,Mezen,RU,2021-05-26 23:07:59,65.8522,44.24,29.03,77,10,2.95
98,Salalah,OM,2021-05-26 23:08:00,17.0151,54.0924,82.49,78,75,4.61
99,Qaanaaq,GL,2021-05-26 23:08:00,77.484,-69.3632,34.11,79,26,2.57
100,Cherskiy,RU,2021-05-26 23:08:00,68.75,161.3,57.74,35,46,6.85
101,Lingyuan,CN,2021-05-26 23:08:01,41.24,119.4011,59.34,53,13,2.84
102,Mehamn,NO,2021-05-26 23:03:09,71.0357,27.8492,38.05,74,45,7.92
103,Tiksi,RU,2021-05-26 23:08:01,71.6872,128.8694,34.92,93,60,3.04
104,Nurota,UZ,2021-05-26 23:08:01,40.5614,65.6886,69.89,26,58,3.74
105,Pevek,RU,2021-05-26 23:08:02,69.7008,170.3133,32.4,85,1,2.46
106,Roald,NO,2021-05-26 23:08:02,62.5833,6.1333,53.91,93,1,21.85
107,Skibbereen,IE,2021-05-26 23:08:02,51.55,-9.2667,46.2,92,100,6.76
108,Heyang,CN,2021-05-26 23:08:03,26.1011,107.473,62.87,95,96,2.39
109,Bethel,US,2021-05-26 23:08:03,41.3712,-73.414,81.01,70,1,10.36
110,Yugorsk,RU,2021-05-26 23:08:03,61.3133,63.3319,39.47,73,99,10.29
111,Butaritari,KI,2021-05-26 23:08:04,3.0707,172.7902,83.48,78,86,20.18
112,Narsaq,GL,2021-05-26 23:08:04,60.9167,-46.05,35.82,99,100,2.42
113,Matinhos,BR,2021-05-26 23:08:05,-25.8175,-48.5428,65.66,78,82,1.28
114,Kattivakkam,IN,2021-05-26 23:08:05,13.2167,80.3167,88.07,64,92,16.08
115,Aban,RU,2021-05-26 23:08:05,56.67,96.06,40.33,63,8,5.01
116,Kutum,SD,2021-05-26 23:08:06,14.2,24.6667,76.06,46,95,4.36
117,San Cristobal,VE,2021-05-26 23:08:06,7.7669,-72.225,77.18,64,84,4.21
118,Victoria,HK,2021-05-26 23:04:34,22.2855,114.1577,87.96,87,79,5.99
119,Santa Cruz Del Sur,CU,2021-05-26 23:08:06,20.7147,-77.9956,82.56,70,57,13.29
120,Bintulu,MY,2021-05-26 23:08:07,3.1667,113.0333,77.2,86,65,4.23
121,Mitu,CO,2021-05-26 23:08:07,1.1983,-70.1733,72.32,98,90,1.95
122,Castro,BR,2021-05-26 23:08:08,-24.7911,-50.0119,58.06,62,90,1.36
123,Allonnes,FR,2021-05-26 23:08:08,47.9674,0.1581,55.78,100,75,0.0
124,Pudozh,RU,2021-05-26 23:08:08,61.8099,36.5345,39.49,95,100,10.58
125,Dayong,CN,2021-05-26 23:08:08,25.0209,118.2898,80.42,87,100,2.1
126,Mar Del Plata,AR,2021-05-26 23:08:09,-38.0023,-57.5575,58.12,55,98,7.0
127,Esperance,AU,2021-05-26 23:08:09,-33.8667,121.9,55.71,65,100,15.68
128,Brae,GB,2021-05-26 23:08:09,60.3964,-1.353,48.11,89,97,15.41
129,Bathsheba,BB,2021-05-26 23:08:10,13.2167,-59.5167,80.19,81,96,17.05
130,Wilmington,US,2021-05-26 23:05:19,34.2257,-77.9447,84.11,65,1,11.5
131,Carnarvon,AU,2021-05-26 23:08:10,-24.8667,113.6333,70.59,48,64,10.54
132,Tautira,PF,2021-05-26 23:08:10,-17.7333,-149.15,82.42,75,16,7.31
133,Gwadar,PK,2021-05-26 23:08:11,25.1216,62.3254,86.56,77,15,15.48
134,Portland,US,2021-05-26 23:05:10,45.5234,-122.6762,74.66,43,75,1.01
135,Inhambane,MZ,2021-05-26 23:08:11,-23.865,35.3833,66.2,71,13,1.25
136,Arraial Do Cabo,BR,2021-05-26 23:08:12,-22.9661,-42.0278,73.26,78,75,2.3
137,Mujiayingzi,CN,2021-05-26 23:03:42,42.1167,118.7833,56.7,48,14,5.95
138,Kruisfontein,ZA,2021-05-26 23:08:12,-34.0033,24.7314,49.89,83,100,4.47
139,Abu Dhabi,AE,2021-05-26 23:08:12,24.4667,54.3667,87.91,58,0,19.64
140,Glasgow,GB,2021-05-26 23:04:15,55.8652,-4.2576,50.45,90,77,2.84
141,Fairbanks,US,2021-05-26 23:05:03,64.8378,-147.7164,66.54,29,90,0.0
142,Nikolskoye,RU,2021-05-26 23:08:13,59.7035,30.7861,46.29,97,76,6.6
143,Sorland,NO,2021-05-26 23:08:13,67.667,12.6934,43.63,84,15,22.28
144,Saint-Philippe,RE,2021-05-26 23:08:14,-21.3585,55.7679,69.39,84,29,2.73
145,San Jeronimo,PE,2021-05-26 23:08:14,-11.9472,-75.2829,49.46,68,83,6.46
146,Aykhal,RU,2021-05-26 23:08:14,66.0,111.5,49.62,59,82,4.5
147,Saint-Cesaire,CA,2021-05-26 23:08:14,45.4168,-72.9991,75.54,88,55,15.61
148,Mogadishu,SO,2021-05-26 23:08:15,2.0371,45.3438,78.66,78,38,15.79
149,Poya,NC,2021-05-26 23:08:15,-21.35,165.15,72.23,54,3,3.0
150,Isangel,VU,2021-05-26 23:08:15,-19.55,169.2667,74.62,68,21,6.44
151,Dilla,ET,2021-05-26 23:08:16,6.41,38.31,60.15,91,55,4.09
152,Caravelas,BR,2021-05-26 23:08:16,-17.7125,-39.2481,73.42,93,31,5.99
